run,total_return,annual_return,sharpe,max_drawdown,n_trades,total_fees,final_equity,n_bars,delta_ann_vs_baseline,delta_sharpe_vs_baseline,note
baseline_local,0.1508584371224051,0.01928172958514507,0.2582033122880039,-0.17375205255894888,173,3607.1741275955,1150858.437122405,1855,0.0,0.0,"qfq, T+1 open, ETF fees, 5bps, skip halt"
fill_next_close,0.1250810270021827,0.01614812816784683,0.22394626547337354,-0.17855526696658275,173,3543.359097817,1125081.0270021828,1855,-0.0031336014172982374,-0.034257046814630376,"same signal, fill T+1 close instead of open"
fill_same_bar_close,0.154630111652182,0.01973513139339378,0.2668289512810694,-0.18741588182088453,173,3657.4539478179995,1154630.111652182,1855,0.0004534018082487101,0.00862563899306551,T close signal filled at T close (look-ahead)
signal_one_day_early,0.18310633372448004,0.023117615635985356,0.31798793595383296,-0.19305639154362497,173,3611.897875519999,1183106.3337244801,1855,0.003835886050840287,0.05978462366582904,T close used to trade T open (1-day early vs spec)
fee_zero,0.17270679999999938,0.021890567333325395,0.2867516179776592,-0.1683195126413758,173,0.0,1172706.7999999993,1855,0.002608837748180326,0.028548305689655273,"zero commission, zero slippage"
fee_jq_stock_default,0.12636955125681726,0.016306231797122983,0.22551037768468454,-0.1798037886374081,173,26350.3772931825,1126369.5512568173,1855,-0.0029754977880220856,-0.032692934603319374,JoinQuant stock default proxy: 3bp + stamp 10bp on sells
fee_qc_ib_like,0.11131904059387465,0.014449682209005443,0.2051147765015665,-0.18373038586414814,173,40250.79820612498,1111319.0405938746,1855,-0.004832047376139625,-0.05308853578643741,IB-like ~12.5bp on a ~4 CNY ETF price
trade_on_halts,0.1508584371224051,0.01928172958514507,0.2582033122880039,-0.17375205255894888,173,3607.1741275955,1150858.437122405,1855,0.0,0.0,fills allowed on volume=0 bars
drop_halt_bars_from_ma,0.1508584371224051,0.01928172958514507,0.2582033122880039,-0.17375205255894888,173,3607.1741275955,1150858.437122405,1855,0.0,0.0,skip_paused=True analog: halt days removed from MA window
sample_end_qc,0.1903852114197473,0.024796472246894963,0.32102157048073227,-0.17375205255894888,169,3505.5876302534994,1190385.2114197472,1794,0.005514742661749894,0.06281825819272835,truncate local book to QC cloud end 2026-05-29
sample_end_jq,0.18471714660975502,0.023853460197717613,0.3078033839031577,-0.17375205255894888,172,3545.5796402455,1184717.146609755,1813,0.004571730612572544,0.049600071615153785,truncate local book to JoinQuant end 2026-06-26
